propertyType,rooms,size,buildYear,cluster_100m,adj_price,cluster_1000m,avg_adjusted_sqm_price_100m,avg_adjusted_sqm_price_1000m
3,4.0,113,1933,1,4014155,0,35522,44189
3,2.0,55,1886,1,2578361,0,46878,44189
3,3.0,87,1890,1,3083923,0,35446,44189
3,2.0,71,1985,2,2517694,0,35460,37211
3,3.0,92,2022,0,3791708,0,41213,47731
3,4.0,77,1930,56,4345803,0,56438,52883
3,3.0,76,1899,1,3073811,0,40444,44189
3,2.0,55,1938,15,1845298,0,33550,37312
3,2.0,54,1907,5,2755308,0,51023,45759
3,3.0,81,1938,5,3235591,0,39945,45759
3,3.0,85,1927,1,3993933,0,46986,44189
3,4.0,97,1966,57,3260869,0,33616,32752
3,2.0,45,1928,1,1820020,0,40444,44189
3,2.0,63,1921,1,2275025,0,36111,44189
3,5.0,128,1876,1,6309403,0,49292,44189
3,4.0,212,2004,58,14105156,0,66532,53951
3,2.0,62,1928,1,2947421,0,47538,44189
3,4.0,128,2005,1,5308392,0,41471,44189
3,3.0,112,1897,1,3816986,0,34079,44189
3,2.0,52,1940,51,1946410,0,37430,38573
3,3.0,82,2001,16,3564206,0,43465,40642
3,3.0,84,1917,59,3456016,0,41142,37267
3,2.0,62,1930,1,2022244,0,32616,44189
3,2.0,58,1897,5,2967644,0,51165,45759
3,2.0,72,1977,9,2002022,0,27805,25860
3,3.0,117,2017,1,6873609,0,58748,44189
3,2.0,61,2012,0,2894337,0,47447,47731
3,3.0,74,1917,1,3038422,0,41059,44189
3,3.0,74,1960,4,1857937,0,25107,32232
3,2.0,73,1986,3,2234580,0,30609,42193
3,3.0,94,1996,60,4549039,0,48393,45454
3,3.0,85,1968,10,2249747,0,26467,31481
3,6.0,209,2012,0,10616784,0,50797,47731
3,2.0,67,1913,1,2932254,0,43764,44189
3,2.0,66,2022,0,3538928,0,53619,47731
3,2.0,60,2015,1,2628918,0,43814,44189
3,3.0,102,2001,1,3296258,0,32315,44189
3,2.0,67,1983,2,2237108,0,33389,37211
3,6.0,165,1913,1,7381193,0,44734,44189
3,3.0,91,2016,0,3690596,0,40555,47731
3,2.0,65,1951,10,1845298,0,28388,31481
3,3.0,68,1930,1,3230535,0,47507,44189
3,4.0,95,1931,1,3791708,0,39912,44189
3,2.0,62,1935,1,2426693,0,39139,44189
3,3.0,84,1950,10,2678463,0,31885,31481
3,2.0,58,1960,32,1916076,0,33035,35933
3,3.0,81,1917,5,4034378,0,49806,45759
3,2.0,66,2018,1,3083923,0,46725,44189
3,2.0,59,1920,1,2881698,0,48842,44189
3,3.0,94,1938,5,4312436,0,45876,45759
3,2.0,66,2007,1,2932254,0,44427,44189
3,2.0,61,1938,6,1794742,0,29421,35867
3,2.0,65,1938,15,1905965,0,29322,37312
3,3.0,97,2019,20,5813953,0,59937,51831
3,3.0,66,1930,1,3144590,0,47645,44189
3,5.0,125,1895,1,8847320,0,70778,44189
3,2.0,58,2019,20,3185035,0,54914,51831
3,2.0,66,1937,1,2249747,0,34086,44189
3,3.0,87,1896,1,6061678,0,69674,44189
3,2.0,79,2014,0,3488372,0,44155,47731
3,3.0,71,2015,1,3028311,0,42652,44189
3,2.0,58,2011,21,2628918,0,45325,47239
3,3.0,108,1938,32,2527805,0,23405,35933
3,1.0,42,1988,3,1769464,0,42129,42193
3,3.0,81,1890,61,2032355,0,25089,31540
3,2.0,66,1969,3,2477249,0,37533,42193
3,3.0,76,1966,1,2881698,0,37917,44189
3,4.0,82,2001,41,4095045,0,49939,48098
3,2.0,66,1931,1,2831142,0,42895,44189
3,2.0,57,1914,1,2704752,0,47450,44189
3,3.0,85,1948,10,2224469,0,26169,31481
3,2.0,49,2006,62,2082912,0,42507,45380
3,3.0,69,1929,1,3185035,0,46159,44189
3,2.0,59,1918,5,2275025,0,38559,45759
3,3.0,97,1942,4,2957532,0,30489,32232
3,3.0,120,2023,1,4550050,0,37917,44189
3,2.0,55,2004,1,2020222,0,36731,44189
3,4.0,82,1948,11,2527805,0,30826,34667
3,3.0,60,1877,5,3033367,0,50556,45759
3,4.0,124,2019,20,8847320,0,71348,51831
3,3.0,108,1920,63,3589484,0,33235,43025
3,3.0,83,1958,32,2259858,0,27226,35933
